year,type,product_type,values
1980,Total Manufacturing,"Food, Beverage & Tobacco",2177.9
1980,Total Manufacturing,Textiles,432.7
1980,Total Manufacturing,Wearing Apparel,932.6
1980,Total Manufacturing,"Leather, Leather Products & Footwear",115.3
1980,Total Manufacturing,Wood & Wood Products,806.4
1980,Total Manufacturing,Paper & Paper Products,300.3
1980,Total Manufacturing,Printing & Reproduction Of Recorded Media,570.4
1980,Total Manufacturing,Refined Petroleum Products,11695.1
1980,Total Manufacturing,Chemicals & Chemical Products,703.8
1980,Total Manufacturing,Pharmaceutical & Biological Products,285.7
1980,Total Manufacturing,Rubber & Plastic Products,653.9
1980,Total Manufacturing,Non-metallic Mineral Products,691.9
1980,Total Manufacturing,Basic Metal,527.8
1980,Total Manufacturing,Fabricated Metal Products,1249.9
1980,Total Manufacturing,"Computer, Electronic & Optical Products",5488.4
1980,Total Manufacturing,Electrical Equipment,981.7
1980,Total Manufacturing,Machinery & Equipment,2031
1980,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",132.5
1980,Total Manufacturing,Other Transport Equipment,1955
1980,Total Manufacturing,Furniture,287.8
1980,Total Manufacturing,Other Manufacturing Industries,459
1981,Total Manufacturing,"Food, Beverage & Tobacco",2312.8
1981,Total Manufacturing,Textiles,388.6
1981,Total Manufacturing,Wearing Apparel,978.5
1981,Total Manufacturing,"Leather, Leather Products & Footwear",120.8
1981,Total Manufacturing,Wood & Wood Products,678.1
1981,Total Manufacturing,Paper & Paper Products,336.2
1981,Total Manufacturing,Printing & Reproduction Of Recorded Media,689.4
1981,Total Manufacturing,Refined Petroleum Products,14598.1
1981,Total Manufacturing,Chemicals & Chemical Products,790.2
1981,Total Manufacturing,Pharmaceutical & Biological Products,302.1
1981,Total Manufacturing,Rubber & Plastic Products,684
1981,Total Manufacturing,Non-metallic Mineral Products,942.8
1981,Total Manufacturing,Basic Metal,471.2
1981,Total Manufacturing,Fabricated Metal Products,1460.6
1981,Total Manufacturing,"Computer, Electronic & Optical Products",5714.9
1981,Total Manufacturing,Electrical Equipment,1066.2
1981,Total Manufacturing,Machinery & Equipment,2979.3
1981,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",84
1981,Total Manufacturing,Other Transport Equipment,2184.2
1981,Total Manufacturing,Furniture,352.6
1981,Total Manufacturing,Other Manufacturing Industries,518.8
1982,Total Manufacturing,"Food, Beverage & Tobacco",2482.9
1982,Total Manufacturing,Textiles,297.8
1982,Total Manufacturing,Wearing Apparel,976.5
1982,Total Manufacturing,"Leather, Leather Products & Footwear",109.4
1982,Total Manufacturing,Wood & Wood Products,563
1982,Total Manufacturing,Paper & Paper Products,359.8
1982,Total Manufacturing,Printing & Reproduction Of Recorded Media,742.3
1982,Total Manufacturing,Refined Petroleum Products,14741.2
1982,Total Manufacturing,Chemicals & Chemical Products,852.5
1982,Total Manufacturing,Pharmaceutical & Biological Products,317.5
1982,Total Manufacturing,Rubber & Plastic Products,652.2
1982,Total Manufacturing,Non-metallic Mineral Products,1124.9
1982,Total Manufacturing,Basic Metal,509.7
1982,Total Manufacturing,Fabricated Metal Products,1572.8
1982,Total Manufacturing,"Computer, Electronic & Optical Products",5116.8
1982,Total Manufacturing,Electrical Equipment,1006.7
1982,Total Manufacturing,Machinery & Equipment,3016.9
1982,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",88.3
1982,Total Manufacturing,Other Transport Equipment,2022.2
1982,Total Manufacturing,Furniture,335.8
1982,Total Manufacturing,Other Manufacturing Industries,462.2
1983,Total Manufacturing,"Food, Beverage & Tobacco",2580
1983,Total Manufacturing,Textiles,253
1983,Total Manufacturing,Wearing Apparel,984.1
1983,Total Manufacturing,"Leather, Leather Products & Footwear",106
1983,Total Manufacturing,Wood & Wood Products,499.2
1983,Total Manufacturing,Paper & Paper Products,374.6
1983,Total Manufacturing,Printing & Reproduction Of Recorded Media,846.5
1983,Total Manufacturing,Refined Petroleum Products,13270.5
1983,Total Manufacturing,Chemicals & Chemical Products,981.4
1983,Total Manufacturing,Pharmaceutical & Biological Products,402.7
1983,Total Manufacturing,Rubber & Plastic Products,707.6
1983,Total Manufacturing,Non-metallic Mineral Products,1446.5
1983,Total Manufacturing,Basic Metal,486.1
1983,Total Manufacturing,Fabricated Metal Products,1740.3
